geocode,Distance2Center,minDist_subcenter,Build_Density,Urb_Build_Density,Pop_Density,Urb_Pop_Density,SF_share,m2cap,Pop_2018,transit_access,Car_HH,Car_cap,Inc_HH,Inc_cap,HH_size,share_65+,tCO2cap_res,tCO2cap_mob,tCO2cap_energy,Region,Country,pkm_cap_Car,pkm_cap_Transit,Pop_2017,city_size,Country_France,Country_Germany,Population,Income_cap_stand,City_Pop,clean_intersection_density_km,street_density_km,bike_lane_share
10115,1.972959421,2.761333518,8762171.911,9010181.3,105.7135241,108.7056984,0.620220829,42.49919815,25109.16429,94.28305236,0.536876067,0.266870073,3347.603191,1664.024834,2.01175074,0.062208398,1.566629491,0.2475,1.814129491,Berlin,Germany,901.0191,1325.3056,0,3,0,1,25109.16429,1,3748148,39.38086734,8886.023374,0.0965
10117,0.475295148,3.47954095,15005781.68,16134572.87,51.85030068,55.75067481,0.826228608,48.8327716,17635.33402,105.260238,0.525050553,0.333901995,2412.541497,1534.237825,1.572469051,0.160850056,1.839368468,0.2658,2.105168468,Berlin,Germany,1021.5326,1306.9586,0,3,0,1,17635.33402,1,3748148,51.62362402,11421.68254,0.1669
10119,2.441003095,2.130129309,10410935.01,10410935.01,190.9988508,190.9988508,0.443493032,41.35795287,18640.39932,95.79619785,0.426802886,0.239521571,2863.114003,1606.778183,1.781897485,0.063402322,1.609698123,0.186,1.795698123,Berlin,Germany,649.0157,759.7936,0,3,0,1,18640.39932,1,3748148,52.64385374,11693.44705,0.0696
10178,2.001692669,3.082076327,9892035.629,10417996.79,81.8169319,86.16715166,0.374402136,39.76875839,15184.2835,149.8091655,0.426969255,0.26566815,2313.179321,1439.302866,1.607152584,0.187770823,1.520131333,0.231,1.751131333,Berlin,Germany,634.8054,1444.5721,0,3,0,1,15184.2835,1,3748148,55.50049697,12047.22762,0.1097
10179,2.290878991,2.157930533,8909344.9,9623802.806,122.0819128,131.8719017,0.18381623,35.34294254,26548.12335,92.84436447,0.610115228,0.400555651,2273.476063,1492.592943,1.523172191,0.210110585,1.296572178,0.318,1.614572178,Berlin,Germany,1409.3781,1273.8679,0,3,0,1,26548.12335,1,3748148,46.11438351,11114.03757,0.1808
10243,3.920692844,1.080441938,9079025.529,10798400.7,111.3437265,132.4298704,0.216611655,36.97738951,31801.3683,70.35207748,0.442576622,0.302787064,2286.750987,1564.471737,1.461676125,0.155365622,1.400566214,0.2966,1.697166214,Berlin,Germany,1097.439,1461.6847,0,3,0,1,31801.3683,1,3748148,35.70804033,9879.523487,0.1561
10245,5.401818192,0.817197552,5535276.279,8090550.852,103.658119,151.5102844,0.583168814,38.76452314,34980.71627,54.87377877,0.372814133,0.237494634,2255.590975,1436.884242,1.569779185,0.051467632,1.579827888,0.2752,1.855027888,Berlin,Germany,917.2083,1791.1037,0,3,0,1,34980.71627,1,3748148,40.40109706,9402.638527,0.0676
10247,5.698647696,0.828686154,8799846.296,9166440.093,222.3314399,231.5935706,0.741764643,37.15703799,40098.18708,57.43428116,0.412009609,0.232822013,2334.150496,1319.002289,1.769633393,0.046823489,1.436540513,0.2422,1.678740513,Berlin,Germany,771.9366,1736.0849,0,3,0,1,40098.18708,1,3748148,49.58316457,11700.88309,0.1107
10249,4.422989976,1.473895747,6322666.832,6523150.848,127.3102581,131.3471103,1.134567715,36.81713405,29372.33519,75.18284831,0.486157452,0.285879417,2440.728525,1435.242933,1.700568224,0.136519473,1.401216106,0.2606,1.661816106,Berlin,Germany,983.3703,1120.3251,0,3,0,1,29372.33519,1,3748148,44.48201595,10380.70216,0.1189
10315,9.013880557,3.469647795,3608824.376,3706370.57,77.58967063,79.68691237,1.510408485,34.82921577,27970.27337,49.81541234,0.57041411,0.37835143,1960.572822,1300.433347,1.50763038,0.207704598,1.28692716,0.3834,1.67032716,Berlin,Germany,1415.551,2066.4637,0,3,0,1,27970.27337,1,3748148,30.40284577,7413.827189,0.087
10317,7.599145904,2.788076509,3722346.271,5434855.147,62.70130336,91.54777026,2.214403015,36.91755377,26380.72971,35.14217324,0.714467722,0.321788946,2818.26325,1269.316912,2.220299142,0.06998726,1.470099587,0.3241,1.794199587,Berlin,Germany,1162.1121,1745.2699,0,3,0,1,26380.72971,1,3748148,26.32192687,6857.907482,0.0373
10318,10.16754688,2.31871003,1961839.696,2044676.298,41.13762566,42.8746183,17.17243899,39.86510812,27708.922,23.85408733,0.815917038,0.400767814,2943.691954,1445.903121,2.03588464,0.160486167,1.528035707,0.5286,2.056635707,Berlin,Germany,2199.5322,2209.4688,0,3,0,1,27708.922,1,3748148,44.6860619,9269.136571,0.0059
10319,9.121181822,3.577325346,2708484.799,2769878.291,70.94666584,72.55482092,0.454247464,34.7423388,25324.30472,35.92737216,0.541547511,0.335117089,1810.856179,1120.582846,1.615994914,0.318265609,1.199208622,0.3422,1.541408622,Berlin,Germany,1341.7377,1620.997,0,3,0,1,25324.30472,0,3748148,28.36238632,7163.162868,0.1229
10365,7.713141835,1.9926497,6362041.165,6564954.561,65.96681583,68.07078691,2.544663184,33.68814763,31688.38666,47.73824952,0.478405048,0.290473957,1967.464248,1194.588409,1.646980863,0.158132033,1.238768475,0.3472,1.585968475,Berlin,Germany,1126.4793,2306.3486,0,3,0,1,31688.38666,0,3748148,29.58666199,6770.454206,0.0579
10367,6.850865137,1.530771708,4991763.626,4991763.626,119.0584003,119.0584003,1.480086725,33.62115997,20242.01447,54.29408876,0.521411884,0.344507248,2021.160559,1335.421159,1.513500475,0.208617189,1.211054195,0.3522,1.563254195,Berlin,Germany,1272.0661,1922.5985,0,3,0,1,20242.01447,1,3748148,31.62712144,7851.507373,0.034
10369,6.114839243,1.590679399,4986590.659,5090803.917,135.7050661,138.5411254,0.073361337,33.5090154,21233.95551,65.92764307,0.52326763,0.321670818,2031.415774,1248.781953,1.626717754,0.296035713,1.234404816,0.3868,1.621204816,Berlin,Germany,1501.7769,1827.3964,0,3,0,1,21233.95551,0,3748148,38.97277545,10016.63053,0.1027
